date,description,withdrawal,deposit,balance
2026-09-05,ELECTRIC CO UTILITY BILL,71.88,,14884.29
2026-09-07,PARKSIDE GARAGE WEEKLY PASS,22.00,,14862.29
2026-09-08,COMCAST INTERNET,79.99,,14782.30
2026-09-10,STREAMFLIX,15.49,,14766.81
2026-09-11,TRADER JOES,58.42,,14708.39
2026-09-12,SPOTIFY,10.99,,14697.40
2026-09-12,CHIPOTLE ONLINE ORD7729384610,21.40,,14676.00
2026-09-14,SUSHI PALACE,28.11,,14647.89
2026-09-14,PARKSIDE GARAGE WEEKLY PASS,22.00,,14625.89
2026-09-15,EMPLOYER PAYROLL,,2398.52,17024.41
2026-09-19,WHOLE FOODS MARKET,71.06,,16953.35
2026-09-20,ONLINE PAYMENT TO CREDIT CARD,188.40,,16764.95
2026-09-21,TRADER JOES,49.32,,16715.63
2026-09-21,PARKSIDE GARAGE WEEKLY PASS,22.00,,16693.63
2026-09-22,ATM CASH WITHDRAWAL,60.00,,16633.63
2026-09-24,CITY TRANSIT FARE,22.15,,16611.48
2026-09-25,SUSHI PALACE,19.44,,16592.04
2026-09-28,STUDENT LOAN SERVICING PAYMENT,210.44,,16381.60
2026-09-28,PARKSIDE GARAGE WEEKLY PASS,22.00,,16359.60
2026-09-29,AMC THEATRES,22.80,,16336.80
2026-09-30,AMAZON MARKETPLACE 112-6673029481-A,76.19,,16260.61
2026-10-01,EMPLOYER PAYROLL,,2445.90,18706.51
2026-10-01,ONLINE TRANSFER TO SAVINGS,250.00,,18456.51
2026-10-01,SUNSET RIDGE APARTMENTS RENT,1450.00,,17006.51
2026-10-03,PLANET FITNESS MONTHLY GYM,24.99,,16981.52
2026-10-05,ELECTRIC CO UTILITY BILL,84.30,,16897.22
2026-10-05,PARKSIDE GARAGE WEEKLY PASS,22.00,,16875.22
2026-10-06,CHIPOTLE ONLINE ORD3384710295,14.67,,16860.55
2026-10-08,COMCAST INTERNET,79.99,,16780.56
2026-10-08,TRANSFER FROM SAVINGS,,220.00,17000.56
2026-10-10,STREAMFLIX,15.49,,16985.07
2026-10-11,BRAMBLEWOOD BOOKS & CAFE,27.85,,16957.22
2026-10-12,SPOTIFY,10.99,,16946.23
2026-10-12,PARKSIDE GARAGE WEEKLY PASS,22.00,,16924.23
2026-10-13,SHELL GAS STATION,39.60,,16884.63
2026-10-15,EMPLOYER PAYROLL,,2412.77,19297.40
2026-10-17,WHOLE FOODS MARKET,63.94,,19233.46
2026-10-18,AMAZON MARKETPLACE 112-2938475610-B,97.31,,19136.15
2026-10-19,PARKSIDE GARAGE WEEKLY PASS,22.00,,19114.15
2026-10-20,ONLINE PAYMENT TO CREDIT CARD,204.55,,18909.60
2026-10-21,CORNER CAFE,31.20,,18878.40
2026-10-24,CITY TRANSIT FARE,16.48,,18861.92
2026-10-26,AMC THEATRES,27.62,,18834.30
2026-10-26,PARKSIDE GARAGE WEEKLY PASS,22.00,,18812.30
2026-10-28,STUDENT LOAN SERVICING PAYMENT,210.44,,18601.86
2026-10-29,TRADER JOES,61.75,,18540.11
2026-10-31,CHIPOTLE ONLINE ORD9928475610,18.93,,18521.18
