date,description,withdrawal,deposit,balance
2026-04-05,ELECTRIC CO UTILITY BILL,64.26,,4935.74
2026-04-06,PARKSIDE GARAGE WEEKLY PASS,22.00,,4913.74
2026-04-08,COMCAST INTERNET,79.99,,4833.75
2026-04-10,STREAMFLIX,15.49,,4818.26
2026-04-10,ALLSTATE AUTO INSURANCE,410.00,,4408.26
2026-04-11,TRADER JOES,92.83,,4315.43
2026-04-12,SPOTIFY,10.99,,4304.44
2026-04-12,CHIPOTLE ONLINE ORD9284710385,9.06,,4295.38
2026-04-13,PARKSIDE GARAGE WEEKLY PASS,22.00,,4273.38
2026-04-14,SUSHI PALACE,24.72,,4248.66
2026-04-15,EMPLOYER PAYROLL,,2541.09,6789.75
2026-04-19,WHOLE FOODS MARKET,68.48,,6721.27
2026-04-20,ONLINE PAYMENT TO CREDIT CARD,209.33,,6511.94
2026-04-20,TRADER JOES,50.87,,6461.07
2026-04-20,PARKSIDE GARAGE WEEKLY PASS,22.00,,6439.07
2026-04-21,SUSHI PALACE,17.68,,6421.39
2026-04-22,TRADER JOES,44.06,,6377.33
2026-04-23,TRANSFER FROM SAVINGS,,341.75,6719.08
2026-04-24,TRADER JOES,69.60,,6649.48
2026-04-24,ATM CASH WITHDRAWAL,44.51,,6604.97
2026-04-27,PARKSIDE GARAGE WEEKLY PASS,22.00,,6582.97
2026-04-28,STUDENT LOAN SERVICING PAYMENT,210.44,,6372.53
2026-04-29,SUSHI PALACE,35.81,,6336.72
2026-04-30,AMC THEATRES,25.18,,6311.54
2026-05-01,EMPLOYER PAYROLL,,2567.38,8878.92
2026-05-01,ONLINE TRANSFER TO SAVINGS,250.00,,8628.92
2026-05-01,SUNSET RIDGE APARTMENTS RENT,1450.00,,7178.92
2026-05-02,CHIPOTLE ONLINE ORD1029384756,19.18,,7159.74
2026-05-03,PLANET FITNESS MONTHLY GYM,24.99,,7134.75
2026-05-03,WHOLE FOODS MARKET,37.50,,7097.25
2026-05-04,PARKSIDE GARAGE WEEKLY PASS,22.00,,7075.25
2026-05-05,ELECTRIC CO UTILITY BILL,102.53,,6972.72
2026-05-05,TRADER JOES,50.50,,6922.22
2026-05-05,SUSHI PALACE,35.70,,6886.52
2026-05-08,COMCAST INTERNET,79.99,,6806.53
2026-05-10,STREAMFLIX,15.49,,6791.04
2026-05-11,PARKSIDE GARAGE WEEKLY PASS,22.00,,6769.04
2026-05-12,SPOTIFY,10.99,,6758.05
2026-05-15,EMPLOYER PAYROLL,,2422.96,9181.01
2026-05-18,PARKSIDE GARAGE WEEKLY PASS,22.00,,9159.01
2026-05-20,ONLINE PAYMENT TO CREDIT CARD,215.12,,8943.89
2026-05-21,AMC THEATRES,36.66,,8907.23
2026-05-25,PARKSIDE GARAGE WEEKLY PASS,22.00,,8885.23
2026-05-26,WHOLE FOODS MARKET,34.50,,8850.73
2026-05-26,SHELL GAS STATION,20.02,,8830.71
2026-05-28,STUDENT LOAN SERVICING PAYMENT,210.44,,8620.27
2026-05-28,WHOLE FOODS MARKET,40.70,,8579.57
2026-05-28,SUSHI PALACE,10.17,,8569.40
2026-05-28,CITY TRANSIT FARE,13.37,,8556.03
2026-05-28,AMAZON MARKETPLACE 112-4471829-3305942,34.05,,8521.98
2026-06-01,EMPLOYER PAYROLL,,2476.25,10998.23
2026-06-01,ONLINE TRANSFER TO SAVINGS,250.00,,10748.23
2026-06-01,SUNSET RIDGE APARTMENTS RENT,1450.00,,9298.23
2026-06-01,PARKSIDE GARAGE WEEKLY PASS,22.00,,9276.23
2026-06-03,PLANET FITNESS MONTHLY GYM,24.99,,9251.24
2026-06-05,ELECTRIC CO UTILITY BILL,108.49,,9142.75
2026-06-06,CHIPOTLE ONLINE ORD5647382910,16.07,,9126.68
2026-06-08,COMCAST INTERNET,79.99,,9046.69
2026-06-08,CITY TRANSIT FARE,7.45,,9039.24
2026-06-08,PARKSIDE GARAGE WEEKLY PASS,22.00,,9017.24
2026-06-10,STREAMFLIX,15.49,,9001.75
2026-06-12,SPOTIFY,10.99,,8990.76
2026-06-14,AMAZON MARKETPLACE 112-5820194-7743310,81.77,,8908.99
2026-06-15,EMPLOYER PAYROLL,,2421.34,11330.33
2026-06-15,PARKSIDE GARAGE WEEKLY PASS,22.00,,11308.33
2026-06-17,CITY TRANSIT FARE,10.89,,11297.44
2026-06-20,ONLINE PAYMENT TO CREDIT CARD,160.24,,11137.20
2026-06-20,CORNER CAFE,27.14,,11110.06
2026-06-21,AMC THEATRES,20.07,,11089.99
2026-06-22,CORNER CAFE,35.79,,11054.20
2026-06-22,PARKSIDE GARAGE WEEKLY PASS,22.00,,11032.20
2026-06-26,WHOLE FOODS MARKET,76.42,,10955.78
2026-06-26,CITY TRANSIT FARE,53.02,,10902.76
2026-06-27,AMAZON MARKETPLACE 112-9013847-2298475,109.53,,10793.23
2026-06-28,STUDENT LOAN SERVICING PAYMENT,210.44,,10582.79
2026-06-29,PARKSIDE GARAGE WEEKLY PASS,22.00,,10560.79
2026-07-01,EMPLOYER PAYROLL,,2329.31,12890.10
