date,description,withdrawal,deposit,balance
2026-09-08,AMC THEATRES,24.10,,129.16
2026-09-14,CHIPOTLE ONLINE ORD8837410-B1,16.55,,112.61
2026-09-21,PAYMENT RECEIVED - THANK YOU,,188.40,301.01
2026-09-23,AMAZON MARKETPLACE 112-4471829-B201,55.20,,245.81
2026-10-05,SHELL GAS STATION,41.15,,204.66
2026-10-09,AMC THEATRES,29.75,,174.91
2026-10-16,AMAZON MARKETPLACE 112-8801273-B202,88.60,,86.31
2026-10-19,CHIPOTLE ONLINE ORD1029384-B2,20.14,,66.17
2026-10-21,PAYMENT RECEIVED - THANK YOU,,204.55,270.72
2026-10-27,AMAZON MARKETPLACE 112-2093847-B203,33.90,,236.82
