date,description,withdrawal,deposit,balance
2026-04-05,CHIPOTLE ONLINE ORD2938475610,14.20,,-14.20
2026-04-15,CHIPOTLE ONLINE ORD7710293845,22.31,,-36.51
2026-04-21,PAYMENT RECEIVED - THANK YOU,,209.33,172.82
2026-04-30,AMC THEATRES,21.43,,151.39
2026-05-10,AMC THEATRES,13.49,,137.90
2026-05-11,AMC THEATRES,38.06,,99.84
2026-05-13,ANNUAL FEE,95.00,,4.84
2026-05-17,CHIPOTLE ONLINE ORD4482910375,17.25,,-12.41
2026-05-21,PAYMENT RECEIVED - THANK YOU,,215.12,202.71
2026-05-21,CHIPOTLE ONLINE ORD8837410295,21.62,,181.09
2026-05-25,CHIPOTLE ONLINE ORD1029384756,12.19,,168.90
2026-05-25,SHELL GAS STATION,57.33,,111.57
2026-06-05,AMAZON MARKETPLACE 112-6650938-1284759,95.64,,15.93
2026-06-20,AMAZON MARKETPLACE 112-8801273-9927461,23.66,,-7.73
2026-06-21,PAYMENT RECEIVED - THANK YOU,,160.24,152.51
2026-06-25,AMAZON MARKETPLACE 112-2093847-5610284,15.00,,137.51
2026-06-28,CHIPOTLE ONLINE ORD6673029481,16.03,,121.48
2026-07-04,SHELL GAS STATION,57.81,,63.67
2026-07-17,AMAZON MARKETPLACE 112-4472019-8834710,62.20,,1.47
2026-07-19,AMC THEATRES,38.55,,-37.08
2026-07-20,AMAZON MARKETPLACE 112-9910284-3372951,44.51,,-81.59
2026-07-21,PAYMENT RECEIVED - THANK YOU,,298.04,216.45
2026-08-02,AMC THEATRES,27.41,,189.04
2026-08-08,CHIPOTLE ONLINE ORD3395710284,18.09,,170.95
2026-08-15,AMC THEATRES,30.30,,140.65
2026-08-16,AMAZON MARKETPLACE 112-1183746-2298403,23.00,,117.65
2026-08-21,PAYMENT RECEIVED - THANK YOU,,266.76,384.41
2026-08-22,AMAZON MARKETPLACE 112-5563710-4482910,70.24,,314.17
2026-08-25,AMAZON MARKETPLACE 112-7729401-1837462,60.86,,253.31
2026-08-26,SHELL GAS STATION,33.78,,219.53
2026-08-27,AMC THEATRES,23.45,,196.08
2026-09-01,AMAZON MARKETPLACE 112-3384710-9928475,42.82,,153.26
