date,description,withdrawal,deposit,balance
2026-04-06,SAVINGS INTEREST PAYMENT,,2.10,10002.10
2026-04-23,TRANSFER TO CHECKING,341.75,,9660.35
2026-05-01,ONLINE TRANSFER FROM CHECKING,,250.00,9910.35
2026-05-06,SAVINGS INTEREST PAYMENT,,5.89,9916.24
2026-06-01,ONLINE TRANSFER FROM CHECKING,,250.00,10166.24
2026-06-06,SAVINGS INTEREST PAYMENT,,5.10,10171.34
2026-07-01,ONLINE TRANSFER FROM CHECKING,,250.00,10421.34
2026-07-06,SAVINGS INTEREST PAYMENT,,5.98,10427.32
2026-07-09,TRANSFER TO CHECKING,316.22,,10111.10
2026-08-01,ONLINE TRANSFER FROM CHECKING,,250.00,10361.10
2026-08-01,TRANSFER TO CHECKING,197.25,,10163.85
2026-08-02,TRANSFER TO CHECKING,378.73,,9785.12
2026-08-06,SAVINGS INTEREST PAYMENT,,2.23,9787.35
2026-09-01,ONLINE TRANSFER FROM CHECKING,,250.00,10037.35
